	tag	model	upsampling	n_components	fold	accuracy	test_set	thr_features
46	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	18	1	0.5	L1323,Control	True
47	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	18	1	0.5	L1323,Control	True
48	RESULT	DummyClassifier()	1	18	2	0.5	L1323,Control	True
49	RESULT	DecisionTreeClassifier()	1	18	2	0.5	L1323,Control	True
100	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	16	1	0.5	L1323,Control	False
51	RESULT	RandomForestClassifier()	1	18	2	0.5	L1323,Control	True
52	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	18	2	0.5	L1323,Control	True
53	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	18	2	0.5	L1323,Control	True
54	RESULT	DummyClassifier()	1	2	0	0.5	L1323,Control	False
55	RESULT	DecisionTreeClassifier()	1	2	0	0.5	L1323,Control	False
32	RESULT	LogisticRegression()	1	16	2	0.5	L1323,Control	False
57	RESULT	RandomForestClassifier()	1	2	0	0.5	L1323,Control	False
31	RESULT	DecisionTreeClassifier()	1	16	2	0.5	L1323,Control	False
29	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	16	1	0.5	L1323,Control	False
4	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	16	0	0.5	L1323,Control	True
5	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	16	0	0.5	L1323,Control	True
6	RESULT	DummyClassifier()	1	16	1	0.5	L1323,Control	True
7	RESULT	DecisionTreeClassifier()	1	16	1	0.5	L1323,Control	True
8	RESULT	LogisticRegression()	1	16	1	0.5	L1323,Control	True
10	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	16	1	0.5	L1323,Control	True
11	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	16	1	0.5	L1323,Control	True
12	RESULT	DummyClassifier()	1	16	2	0.5	L1323,Control	True
13	RESULT	DecisionTreeClassifier()	1	16	2	0.5	L1323,Control	True
14	RESULT	LogisticRegression()	1	16	2	0.5	L1323,Control	True
15	RESULT	RandomForestClassifier()	1	16	2	0.5	L1323,Control	True
16	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	16	2	0.5	L1323,Control	True
17	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	16	2	0.5	L1323,Control	True
18	RESULT	DummyClassifier()	1	16	0	0.5	L1323,Control	False
22	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	16	0	0.5	L1323,Control	False
23	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	16	0	0.5	L1323,Control	False
24	RESULT	DummyClassifier()	1	16	1	0.5	L1323,Control	False
25	RESULT	DecisionTreeClassifier()	1	16	1	0.5	L1323,Control	False
26	RESULT	LogisticRegression()	1	16	1	0.5	L1323,Control	False
27	RESULT	RandomForestClassifier()	1	16	1	0.5	L1323,Control	False
28	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	16	1	0.5	L1323,Control	False
30	RESULT	DummyClassifier()	1	16	2	0.5	L1323,Control	False
58	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	2	0	0.5	L1323,Control	False
50	RESULT	LogisticRegression()	1	18	2	0.5	L1323,Control	True
60	RESULT	DummyClassifier()	1	2	1	0.5	L1323,Control	False
78	RESULT	DummyClassifier()	1	16	1	0.5	L1323,Control	True
59	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	2	0	0.5	L1323,Control	False
80	RESULT	LogisticRegression()	1	16	1	0.5	L1323,Control	True
81	RESULT	RandomForestClassifier()	1	16	1	0.5	L1323,Control	True
82	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	16	1	0.5	L1323,Control	True
83	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	16	1	0.5	L1323,Control	True
84	RESULT	DummyClassifier()	1	16	2	0.5	L1323,Control	True
85	RESULT	DecisionTreeClassifier()	1	16	2	0.5	L1323,Control	True
77	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	16	0	0.5	L1323,Control	True
86	RESULT	LogisticRegression()	1	16	2	0.5	L1323,Control	True
88	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	16	2	0.5	L1323,Control	True
89	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	16	2	0.5	L1323,Control	True
90	RESULT	DummyClassifier()	1	16	0	0.5	L1323,Control	False
94	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	16	0	0.5	L1323,Control	False
95	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	16	0	0.5	L1323,Control	False
96	RESULT	DummyClassifier()	1	16	1	0.5	L1323,Control	False
97	RESULT	DecisionTreeClassifier()	1	16	1	0.5	L1323,Control	False
98	RESULT	LogisticRegression()	1	16	1	0.5	L1323,Control	False
87	RESULT	RandomForestClassifier()	1	16	2	0.5	L1323,Control	True
76	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	16	0	0.5	L1323,Control	True
79	RESULT	DecisionTreeClassifier()	1	16	1	0.5	L1323,Control	True
215	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	2	2	0.5	L1323,Control	False
62	RESULT	LogisticRegression()	1	2	1	0.5	L1323,Control	False
72	RESULT	DummyClassifier()	1	16	0	0.5	L1323,Control	True
66	RESULT	DummyClassifier()	1	2	2	0.5	L1323,Control	False
67	RESULT	DecisionTreeClassifier()	1	2	2	0.5	L1323,Control	False
65	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	2	1	0.5	L1323,Control	False
68	RESULT	LogisticRegression()	1	2	2	0.5	L1323,Control	False
69	RESULT	RandomForestClassifier()	1	2	2	0.5	L1323,Control	False
61	RESULT	DecisionTreeClassifier()	1	2	1	0.5	L1323,Control	False
70	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	2	2	0.5	L1323,Control	False
71	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	2	2	0.5	L1323,Control	False
64	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	2	1	0.5	L1323,Control	False
145	RESULT	DecisionTreeClassifier()	1	16	0	1.0	L1323,Control	True
147	RESULT	RandomForestClassifier()	1	16	0	1.0	L1323,Control	True
9	RESULT	RandomForestClassifier()	1	16	1	1.0	L1323,Control	True
93	RESULT	RandomForestClassifier()	1	16	0	1.0	L1323,Control	False
92	RESULT	LogisticRegression()	1	16	0	1.0	L1323,Control	False
56	RESULT	LogisticRegression()	1	2	0	1.0	L1323,Control	False
91	RESULT	DecisionTreeClassifier()	1	16	0	1.0	L1323,Control	False
3	RESULT	RandomForestClassifier()	1	16	0	1.0	L1323,Control	True
110	RESULT	LogisticRegression()	1	18	0	1.0	L1323,Control	True
200	RESULT	LogisticRegression()	1	2	0	1.0	L1323,Control	False
2	RESULT	LogisticRegression()	1	16	0	1.0	L1323,Control	True
1	RESULT	DecisionTreeClassifier()	1	16	0	1.0	L1323,Control	True
146	RESULT	LogisticRegression()	1	16	0	1.0	L1323,Control	True
38	RESULT	LogisticRegression()	1	18	0	1.0	L1323,Control	True
115	RESULT	DecisionTreeClassifier()	1	18	1	1.0	L1323,Control	True
73	RESULT	DecisionTreeClassifier()	1	16	0	1.0	L1323,Control	True
74	RESULT	LogisticRegression()	1	16	0	1.0	L1323,Control	True
75	RESULT	RandomForestClassifier()	1	16	0	1.0	L1323,Control	True
128	RESULT	LogisticRegression()	1	2	0	1.0	L1323,Control	False
135	RESULT	RandomForestClassifier()	1	2	1	1.0	L1323,Control	False
181	RESULT	DecisionTreeClassifier()	1	18	0	1.0	L1323,Control	True
63	RESULT	RandomForestClassifier()	1	2	1	1.0	L1323,Control	False
182	RESULT	LogisticRegression()	1	18	0	1.0	L1323,Control	True
165	RESULT	RandomForestClassifier()	1	16	0	1.0	L1323,Control	False
164	RESULT	LogisticRegression()	1	16	0	1.0	L1323,Control	False
163	RESULT	DecisionTreeClassifier()	1	16	0	1.0	L1323,Control	False
117	RESULT	RandomForestClassifier()	1	18	1	1.0	L1323,Control	True
21	RESULT	RandomForestClassifier()	1	16	0	1.0	L1323,Control	False
20	RESULT	LogisticRegression()	1	16	0	1.0	L1323,Control	False
45	RESULT	RandomForestClassifier()	1	18	1	1.0	L1323,Control	True
19	RESULT	DecisionTreeClassifier()	1	16	0	1.0	L1323,Control	False
