	tag	model	upsampling	n_components	fold	accuracy	test_set	thr_features
130	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	2	0	0.5	L1323,Control	False
127	RESULT	DecisionTreeClassifier()	1	2	0	0.5	L1323,Control	False
103	RESULT	DecisionTreeClassifier()	1	16	2	0.5	L1323,Control	False
104	RESULT	LogisticRegression()	1	16	2	0.5	L1323,Control	False
105	RESULT	RandomForestClassifier()	1	16	2	0.5	L1323,Control	False
106	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	16	2	0.5	L1323,Control	False
214	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	2	2	0.5	L1323,Control	False
108	RESULT	DummyClassifier()	1	18	0	0.5	L1323,Control	True
109	RESULT	DecisionTreeClassifier()	1	18	0	0.5	L1323,Control	True
111	RESULT	RandomForestClassifier()	1	18	0	0.5	L1323,Control	True
112	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	18	0	0.5	L1323,Control	True
113	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	18	0	0.5	L1323,Control	True
114	RESULT	DummyClassifier()	1	18	1	0.5	L1323,Control	True
116	RESULT	LogisticRegression()	1	18	1	0.5	L1323,Control	True
118	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	18	1	0.5	L1323,Control	True
119	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	18	1	0.5	L1323,Control	True
120	RESULT	DummyClassifier()	1	18	2	0.5	L1323,Control	True
121	RESULT	DecisionTreeClassifier()	1	18	2	0.5	L1323,Control	True
122	RESULT	LogisticRegression()	1	18	2	0.5	L1323,Control	True
123	RESULT	RandomForestClassifier()	1	18	2	0.5	L1323,Control	True
124	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	18	2	0.5	L1323,Control	True
125	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	18	2	0.5	L1323,Control	True
126	RESULT	DummyClassifier()	1	2	0	0.5	L1323,Control	False
129	RESULT	RandomForestClassifier()	1	2	0	0.5	L1323,Control	False
158	RESULT	LogisticRegression()	1	16	2	0.5	L1323,Control	True
159	RESULT	RandomForestClassifier()	1	16	2	0.5	L1323,Control	True
160	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	16	2	0.5	L1323,Control	True
192	RESULT	DummyClassifier()	1	18	2	0.5	L1323,Control	True
193	RESULT	DecisionTreeClassifier()	1	18	2	0.5	L1323,Control	True
194	RESULT	LogisticRegression()	1	18	2	0.5	L1323,Control	True
195	RESULT	RandomForestClassifier()	1	18	2	0.5	L1323,Control	True
196	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	18	2	0.5	L1323,Control	True
197	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	18	2	0.5	L1323,Control	True
198	RESULT	DummyClassifier()	1	2	0	0.5	L1323,Control	False
199	RESULT	DecisionTreeClassifier()	1	2	0	0.5	L1323,Control	False
201	RESULT	RandomForestClassifier()	1	2	0	0.5	L1323,Control	False
202	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	2	0	0.5	L1323,Control	False
203	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	2	0	0.5	L1323,Control	False
204	RESULT	DummyClassifier()	1	2	1	0.5	L1323,Control	False
205	RESULT	DecisionTreeClassifier()	1	2	1	0.5	L1323,Control	False
206	RESULT	LogisticRegression()	1	2	1	0.5	L1323,Control	False
207	RESULT	RandomForestClassifier()	1	2	1	0.5	L1323,Control	False
208	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	2	1	0.5	L1323,Control	False
209	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	2	1	0.5	L1323,Control	False
210	RESULT	DummyClassifier()	1	2	2	0.5	L1323,Control	False
211	RESULT	DecisionTreeClassifier()	1	2	2	0.5	L1323,Control	False
