sampleName	Unnamed: 0	 	Area	Mean	Min	Max
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11	29099.0	29100.0	0.017	260.0	259.0	261.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21	57693.5	57694.5	0.017	261.0	259.0	261.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11	74298.75	74299.75	0.017	262.0	260.0	263.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21	134162.5	134163.5	0.017	262.0	260.0	263.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11	26370.5	26371.5	0.017	260.0	259.0	261.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21	59697.25	59698.25	0.017	260.5	259.0	261.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11	32210.0	32211.0	0.017	261.0	259.0	261.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21	66558.5	66559.5	0.017	261.0	259.0	261.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11	44426.5	44427.5	0.017	261.0	260.0	262.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21	102107.5	102108.5	0.017	261.5	260.0	262.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11	12583.25	12584.25	0.017	260.0	258.0	260.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21	38581.5	38582.5	0.017	260.0	258.0	260.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11	12819.25	12820.25	0.017	260.0	258.0	260.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21	32176.75	32177.75	0.017	260.0	258.0	260.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11	13244.0	13245.0	0.017	260.0	258.0	260.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21	31741.0	31742.0	0.017	260.0	258.0	260.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3	2649.75	2650.75	0.017	260.0	258.0	260.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11	15470.25	15471.25	0.017	260.0	259.0	260.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21	52155.75	52156.75	0.017	260.0	259.0	260.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11	20736.75	20737.75	0.017	260.0	259.0	260.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21	61628.75	61629.75	0.017	260.0	259.0	261.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11	7189.75	7190.75	0.017	260.0	258.0	260.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21	16060.25	16061.25	0.017	260.5	258.0	261.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11	6131.25	6132.25	0.017	260.0	258.0	261.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21	11569.0	11570.0	0.017	261.0	258.0	261.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11	7795.75	7796.75	0.017	260.0	258.0	260.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6	785.25	786.25	0.017	260.0	258.0	261.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21	13894.75	13895.75	0.017	261.0	258.0	261.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11	7742.5	7743.5	0.017	260.0	258.0	261.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21	13564.75	13565.75	0.017	261.0	258.0	261.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11	8588.5	8589.5	0.017	260.0	258.0	260.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21	13652.0	13653.0	0.017	261.0	258.0	261.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11	64819.75	64820.75	0.017	261.0	259.0	261.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_21	149468.0	149469.0	0.017	261.0	259.0	261.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_11	45022.0	45023.0	0.017	261.0	259.0	261.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_21	149468.0	149469.0	0.017	261.0	259.0	261.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_11	59259.0	59260.0	0.017	261.0	259.0	261.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_21	195387.25	195388.25	0.017	261.0	259.0	262.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_11	70518.5	70519.5	0.017	261.0	259.0	261.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_21	191886.75	191887.75	0.017	261.0	259.0	261.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_11	57961.75	57962.75	0.017	261.0	259.0	261.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_21	205481.75	205482.75	0.017	261.0	259.0	262.0
