sampleName	Unnamed: 0	 	LabelObj	Compactness(Unit)	Compactness(Pix)	CompactCorr(Pix)	CompactDiscrete(Pix)	Sphericity(Unit)	Sphericity(Pix)	SpherCorr(Pix)	SpherDiscrete(Pix)	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	3675.6	3676.6	3686.6	0.001	0.003		0.003	0.101	0.141		0.149	1.0	1.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	3675.6	3676.6	3686.6	0.04	0.065		0.004	0.342	0.403		0.159	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	3672.9	3673.9	3686.9	0.0005254	0.001		0.003	0.081	0.113		0.148	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	3675.6	3676.6	3686.6	0.001	0.002		0.003	0.104	0.123		0.148	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	3672.0	3673.0	3687.0	0.002	0.006	inf	0.004	0.132	0.184	inf	0.162	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	3675.6	3676.6	3686.6	0.02	0.033		0.005	0.27259999999999995	0.32		0.165	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	3671.1	3672.1	3687.1	0.0009264	0.003		0.004	0.097	0.136		0.153	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	3674.7000000000003	3675.7000000000003	3686.7000000000003	0.012	0.019		0.004	0.228	0.269		0.164	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	3676.5	3677.5	3686.5	0.001	0.003		0.003	0.106	0.148		0.149	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	3676.5	3677.5	3686.5	0.012	0.019		0.004	0.228	0.269		0.163	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11_	3674.7000000000003	3675.7000000000003	3686.7000000000003	0.006	0.016		0.004	0.18	0.251		0.1617000000000003	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21_	3672.9	3673.9	3685.9	0.027	0.044		0.005	0.299	0.352		0.171	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11_	3674.7000000000003	3675.7000000000003	3686.7000000000003	0.008	0.021		0.005	0.197	0.276		0.166	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21_	3344.4	3345.4	3368.4	0.107	0.175		0.006	0.475	0.559		0.18380000000000019	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11_	3672.0	3673.0	3687.0	0.0009158	0.002	inf	0.004	0.097	0.136	inf	0.156	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21_	3396.6	3397.6	3441.6	0.161	0.262		0.006	0.544	0.64		0.182	1.0	1.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3_	3673.8	3674.8	3686.8	0.002	0.003		0.005	0.129	0.151		0.172		
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11_	3671.1	3672.1	3687.1	0.001	0.003		0.004	0.102	0.142		0.16	1.0	1.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21_	3663.0	3664.0	3688.0	0.007	0.012	inf	0.006	0.195	0.23	inf	0.18	1.0	1.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11_	3666.6	3667.6	3687.6	0.0005797199999999999	0.002		0.004	0.083	0.116		0.159	1.0	1.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21_	3663.0	3664.0	3688.0	0.001	0.002	inf	0.005	0.114	0.134	inf	0.17	1.0	1.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11_	3582.9	3583.9	3595.9	0.064	0.175		0.004	0.4	0.559		0.157	1.0	1.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21_	2599.2000000000003	2600.2000000000003	2695.2000000000003	0.321	0.524		0.006	0.685	0.806		0.178	1.0	1.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11_	3675.6	3676.6	3686.6	0.008	0.023		0.004	0.203	0.283		0.157	1.0	1.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21_	2956.5	2957.5	3111.0	0.321	0.524		0.005	0.685	0.806		0.17540000000000008	1.0	1.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_	3675.6	3676.6	3686.6	0.003	0.009		0.004	0.147	0.205		0.158	1.0	1.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6_	3336.3	3337.3	3357.3	0.096	0.262		0.005	0.458	0.64		0.1663000000000002		
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21_	3077.1	3078.1	3092.1	0.161	0.262		0.005	0.544	0.64		0.168	1.0	1.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11_	3676.5	3677.5	3686.5	0.016	0.044		0.004	0.252	0.352		0.153	1.0	1.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21_	3323.7000000000003	3324.7000000000003	3349.7000000000003	0.161	0.262		0.005	0.544	0.64		0.169	1.0	1.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11_	3676.5	3677.5	3686.5	0.004	0.012		0.004	0.165	0.23		0.158	1.0	1.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21_	3467.7000000000003	3468.7000000000003	3480.7000000000003	0.107	0.175		0.005	0.475	0.559		0.165	1.0	1.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11_	3674.7000000000003	3675.7000000000003	3686.7000000000003	0.002	0.006		0.004	0.13	0.181		0.157	1.0	1.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_21_	3672.0	3673.0	3684.0	0.046	0.075	inf	0.005	0.358	0.421	inf	0.169	1.0	1.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_11_	3675.6	3676.6	3686.6	0.017	0.048		0.004	0.26	0.362		0.161	1.0	1.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_21_	3672.0	3673.0	3684.0	0.046	0.075	inf	0.005	0.358	0.421	inf	0.169	1.0	1.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_11_	3668.4	3669.4	3687.4	0.0009264	0.003		0.004	0.097	0.136		0.156	1.0	1.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_21_	3673.8	3674.8	3686.8	0.015	0.025		0.005	0.248	0.292		0.175	1.0	1.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_11_	3675.6	3676.6	3686.6	0.005	0.015		0.004	0.176	0.246		0.164	1.0	1.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_21_	3666.6	3667.6	3679.6	0.046	0.075		0.005	0.358	0.421		0.173	1.0	1.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_11_	3665.7000000000003	3666.7000000000003	3687.7000000000003	0.0008254	0.002		0.003	0.094	0.131		0.15	1.0	1.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_21_	3671.1	3672.1	3687.1	0.002	0.004		0.005	0.135	0.158		0.166	1.0	1.0
