sampleName	Unnamed: 0	 	LabelObj	Compactness(Unit)	Compactness(Pix)	CompactCorr(Pix)	CompactDiscrete(Pix)	Sphericity(Unit)	Sphericity(Pix)	SpherCorr(Pix)	SpherDiscrete(Pix)	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	408.40000000000003	409.40000000000003	419.40000000000003	4.494200000000001e-05	0.00012164000000000001	163.5328	0.0	0.036	0.05	5.4688	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	408.40000000000003	409.40000000000003	419.40000000000003	4.2866e-05	6.977e-05	71.93560000000004	0.0	0.035	0.041	4.159000000000001	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	408.1	409.1	422.1	3.8655e-05	0.00010492	105.51120000000002	0.0	0.034	0.047	4.7254000000000005	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	408.40000000000003	409.40000000000003	419.40000000000003	3.8092e-05	6.199000000000001e-05	63.01300000000002	0.0	0.034	0.04	3.9794000000000005	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	408.0	409.0	423.0	3.269e-05	8.871e-05	76.749	0.0	0.032	0.045	4.25	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	408.40000000000003	409.40000000000003	419.40000000000003	3.3892e-05	5.5148e-05	36.81640000000001	0.0	0.032	0.038	3.3266000000000004	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	407.90000000000003	408.90000000000003	423.90000000000003	3.3220000000000004e-05	8.994700000000001e-05	82.43150000000004	0.0	0.032	0.045	4.351700000000001	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	408.3	409.3	420.3	3.3438e-05	5.4392000000000004e-05	45.48740000000001	0.0	0.032	0.038	3.5700000000000003	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	408.5	409.5	418.5	4.769e-05	0.00012865	184.17200000000003	0.0	0.036	0.05	5.689500000000001	0.0	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	408.5	409.5	418.5	3.9165e-05	6.374500000000001e-05	68.1805	0.0	0.034	0.04	4.0855	0.0	1.0	1.0
