sampleName	Unnamed: 0	 	LabelObj	Surface(Pix)	Surface(Unit)	SurfaceCorr(Pix)	SurfaceNbPix	Channel	Frame
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11_	1021.0	1022.0	1032.0	1808.0	169.392	0.0	302.0	1.0	1.0
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21_	1021.0	1022.0	1032.0	246.0	12.231	0.0	41.0	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11_	1020.25	1021.25	1034.25	2754.0	257.907	0.0	459.0	1.0	1.0
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21_	1021.0	1022.0	1032.0	3036.0	150.946	6.667	506.0	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11_	1020.0	1021.0	1035.0	1218.0	114.064	0.0	203.0	1.0	1.0
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21_	1021.0	1022.0	1032.0	420.0	20.882	0.0	70.0	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11_	1019.75	1020.75	1035.75	2115.0	198.0085	0.0	352.75	1.0	1.0
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21_	1020.75	1021.75	1032.75	597.0	29.657500000000002	0.0	99.75	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11_	1021.25	1022.25	1031.25	1582.0	148.075	0.0	264.0	1.0	1.0
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21_	1021.25	1022.25	1031.25	648.0	32.218	0.0	108.0	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11_	1020.75	1021.75	1032.75	582.0	54.503	0.0	97.0	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21_	1020.25	1021.25	1033.25	366.0	18.197	0.0	61.0	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11_	1020.75	1021.75	1032.75	498.0	46.637	0.0	83.0	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21_	929.0	930.0	942.0	132.0	6.563	0.0	22.0	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11_	1020.0	1021.0	1035.0	2328.0	218.013	6.667	388.0	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21_	943.5	944.5	957.5	48.0	2.387	0.0	8.0	1.0	1.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3_	1020.5	1021.5	1033.5	2286.0	113.657	6.667	381.0		
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11_	1019.75	1020.75	1035.75	2125.5	198.93525	6.667	354.75	1.0	1.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21_	1017.5	1018.5	1042.5	922.0	45.808	0.0	154.0	1.0	1.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11_	1018.5	1019.5	1039.5	3169.0	296.80899999999997	6.667	529.0	1.0	1.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21_	1017.5	1018.5	1042.5	3199.0	159.018	6.667	533.5	1.0	1.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11_	995.25	996.25	1005.25	96.0	8.99	0.0	16.0	1.0	1.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21_	722.0	723.0	731.0	48.0	2.387	0.0	8.0	1.0	1.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11_	1021.0	1022.0	1032.0	450.0	42.142	0.0	75.0	1.0	1.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21_	821.25	822.25	831.25	30.0	1.492	0.0	5.0	1.0	1.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_	1021.0	1022.0	1032.0	840.0	78.664	0.0	140.0	1.0	1.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6_	926.75	927.75	937.75	78.0	7.305	0.0	13.0		
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21_	854.75	855.75	864.75	126.0	6.265	0.0	21.0	1.0	1.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11_	1021.25	1022.25	1031.25	276.0	25.847	0.0	46.0	1.0	1.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21_	923.25	924.25	933.25	102.0	5.071	0.0	17.0	1.0	1.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11_	1021.25	1022.25	1031.25	756.0	70.798	0.0	126.0	1.0	1.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21_	963.25	964.25	973.25	126.0	6.265	0.0	21.0	1.0	1.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11_	1020.75	1021.75	1032.75	912.0	85.407	0.0	152.0	1.0	1.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_21_	1020.0	1021.0	1032.0	240.0	11.933	0.0	40.0	1.0	1.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_11_	1021.0	1022.0	1032.0	216.0	20.228	0.0	36.0	1.0	1.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_21_	1020.0	1021.0	1032.0	240.0	11.933	0.0	40.0	1.0	1.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_11_	1019.0	1020.0	1038.0	2124.0	198.909	0.0	354.0	1.0	1.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_21_	1020.5	1021.5	1033.5	472.0	23.435	0.0	79.0	1.0	1.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_11_	1021.0	1022.0	1032.0	696.0	65.179	0.0	116.0	1.0	1.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_21_	1018.5	1019.5	1031.5	258.0	12.827	0.0	43.0	1.0	1.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_11_	1018.25	1019.25	1040.25	2382.5	223.136	6.667	397.25	1.0	1.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_21_	1019.75	1020.75	1035.75	1823.5	90.654	6.667	304.0	1.0	1.0
