sampleName	Unnamed: 0	 	Area	Mean	Min	Max
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11	58198.0	58199.0	0.022820931810957328	269.24478841379073	267.3803362629621	271.3545881766712
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21	115387.0	115388.0	0.023470349907918967	269.61296208428126	267.5333983317084	271.9778182212111
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11	148597.5	148598.5	0.023612114564126034	273.6126773072316	271.0215278805906	276.55163595741533
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21	268325.0	268326.0	0.023816290289219624	273.8574317219198	271.1340498759902	276.95441730286535
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11	52741.0	52742.0	0.023135965037020183	269.170292814956	267.2507607860982	271.3593564839832
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21	119394.5	119395.5	0.023657636416935385	269.42556133003893	267.3344068009548	271.811085053813
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11	64420.0	64421.0	0.02288698473312067	270.0100291754954	268.06201442087536	272.2158552013722
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21	133117.0	133118.0	0.023427825041786393	270.2658725449321	268.10410351756906	272.7235149398088
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11	88853.0	88854.0	0.022972178923734016	271.8500020820789	269.6440995571362	274.34935033510214
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21	204215.0	204216.0	0.02354934860478269	272.1227608482216	269.7012934865375	274.8713956580181
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11	25166.5	25167.5	0.023696725871180515	267.43565065363373	265.56884014781264	269.59321730838
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21	77163.0	77164.0	0.023633103734278512	267.3082786939421	265.51740136204296	269.35913352815777
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11	25638.5	25639.5	0.024893658098989822	267.86423645618004	265.59354889036234	270.4907172666641
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21	64353.5	64354.5	0.02488225285141561	267.8625690244585	265.629494670106	270.4545871274513
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11	26488.0	26489.0	0.023519829359910906	267.3282298544651	265.51965947486644	269.4020990241048
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21	63482.0	63483.0	0.02359514826920805	267.3574420824637	265.5701256251723	269.4166345055724
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3	5299.5	5300.5	0.022956981132075473	267.15572283018867	265.5190566037736	269.02066037735847
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11	30940.5	30941.5	0.02240800232700947	268.7645759671633	267.09938269609904	270.6617433179277
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21	104311.5	104312.5	0.022820552764782575	268.9219284118797	267.1585963264054	270.9222524733492
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11	41473.5	41474.5	0.022556432945942038	268.9418684838694	267.22034286540963	270.8887736895404
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21	123257.5	123258.5	0.02308855408979539	269.0805841284136	267.21240000649044	271.19025134271203
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11	14379.5	14380.5	0.029159318497913773	268.05085970097355	264.6261821974965	272.0590055632823
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21	32120.5	32121.5	0.031210687712088667	268.94111269885747	264.8764826748856	273.7358892936085
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11	12262.5	12263.5	0.02923652450460736	268.25455365734325	264.7408056756096	272.3311587702846
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21	23138.0	23139.0	0.03198323141085204	269.26075614236015	264.9338332216868	274.3765153315902
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11	15591.5	15592.5	0.026271998460749103	267.83388535787583	265.2271036428938	270.87692406362237
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6	1570.5	1571.5	0.029491088478676004	269.13093125397836	265.5175047740293	273.4166136218969
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21	27789.5	27790.5	0.030241147894926233	269.5569159769701	265.5473911478949	274.2955019791292
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11	15485.0	15486.0	0.027969907332666046	268.8965749895063	265.5997868974202	272.7799554421878
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21	27129.5	27130.5	0.030303888684113527	269.86509539255434	265.7841503870254	274.6961481754515
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11	17177.0	17178.0	0.026277950807742687	268.32009337796535	265.61851258914277	271.5002765245234
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21	27304.0	27305.0	0.02995081396839349	269.916122781959	265.87461773700306	274.661374498709
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11	129639.5	129640.5	0.02357035251465597	270.5329242980562	268.36293582227705	272.98982181425487
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_21	298936.0	298937.0	0.024096659323970142	270.75253941221627	268.40889285851677	273.4297384227085
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_11	90044.0	90045.0	0.02314578347372688	270.3366176779259	268.3065206647824	272.6469134705618
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_21	298936.0	298937.0	0.024096659323970142	270.75253941221627	268.40889285851677	273.4297384227085
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_11	118518.0	118519.0	0.02322796441061944	270.36581557731495	268.3149086429545	272.6927610457439
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_21	390774.5	390775.5	0.024565684857014908	270.88661827650185	268.4083372784851	273.7118418527285
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_11	141037.0	141038.0	0.02358417796685279	270.4032310839316	268.2420313746344	272.8598316050696
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_21	383773.5	383774.5	0.024339266078473268	270.660736865968	268.27697290592903	273.38454402851676
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_11	115923.5	115924.5	0.02346978192608951	270.4177317509748	268.2987258893758	272.8244366999068
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_21	410963.5	410964.5	0.024480891270281586	270.7512530854284	268.3118679495041	273.53179840569976
