sampleName	Unnamed: 0	 	Area	Mean	Min	Max
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_11	1129031500.5	1129031500.5	0.000176358385870098	140.80429981471264	132.92359285232138	212.66856319962884
12042023_s_Lm_st_L628_p_C03_C04_tm_24_ch_Syto9_z_21	4438110950.0	4438110950.0	0.0002004153105169789	145.98803078656962	137.40036716596597	228.5310799807352
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_11	7360479967.666667	7360479967.666667	0.00019199347008772762	234.6509291075371	231.59075443604118	338.16275036456693
12042023_s_Lm_st_L628_p_C05_C06_tm_24_ch_Syto9_z_21	23999569371.000004	23999569371.000004	0.00020061032037088067	239.57155416253886	234.89852738287962	353.39864894448203
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_11	927230731.0	927230731.0	0.00018834070257901038	136.23390473133543	129.00140428174473	208.85009985701652
12042023_s_Lm_st_L628_p_D04_D03_tm_24_ch_Syto9_z_21	4751741907.5	4751741907.5	0.00020682103342278325	141.36980055893437	132.59334229685274	224.0893628176407
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_11	1383344343.5	1383344343.5	0.00017865741528018484	154.79002799791357	148.10615107712874	229.96656202262108
12042023_s_Lm_st_L628_p_D06_D05_tm_24_ch_Syto9_z_21	5906778455.0	5906778455.0	0.00019680531364172502	158.24798522724274	149.85072780676498	245.9019431579722
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_11	2631662963.0	2631662963.0	0.00017655517794896693	195.32997207341688	189.74534748736914	284.23161644793163
12042023_s_Lm_st_L628_p_D08_D07_tm_24_ch_Syto9_z_21	13901357516.0	13901357516.0	0.00019618852950125626	198.8226058165838	192.82909312893187	296.50625303805265
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11	211130157.5	211130157.5	0.00021981828065927763	105.42367970538416	92.5242081514681	184.67717251880768
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21	1984748104.6666667	1984748104.6666667	0.0002127845055249424	101.86118979727024	94.28406761428495	165.64130077456588
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11	219123713.5	219123713.5	0.0002652200229657317	113.27855959482692	96.4405239380796	213.29533867852703
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21	1380489831.0	1380489831.0	0.0002624321640778151	110.39121225131447	96.00827237317037	203.89945816280536
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11	233884625.5	233884625.5	0.0002134481164915689	108.14971509600635	95.48689547449654	184.31490649706708
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21	1343353182.5	1343353182.5	0.00021269980318305745	103.58595419759419	94.55291961891633	172.660099460667
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3	9364216.666666666	9364216.666666666	0.00018559433752205317	103.2953161041299	95.65205685121636	162.6948273778049
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11	319120317.1666667	319120317.1666667	0.0001684575032279322	131.6195248312942	125.62144755933217	194.41750474508922
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21	3627015166.6666665	3627015166.6666665	0.00017575786482724968	131.96331085657806	127.71871521044032	191.9664319615668
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11	573371137.6666666	573371137.6666666	0.00017022229661567076	134.38261918876148	128.33920206214734	197.57211021567804
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21	5064198731.0	5064198731.0	0.0001833855987027949	133.58817773196984	129.33223834517239	196.44034323277552
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11	68930530.0	68930530.0	0.00040348023236700124	118.6245492107842	80.88849003113044	289.0957567216936
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21	343924900.5	343924900.5	0.0004589298943325449	122.13128111742074	86.13808767025985	303.9921519534949
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11	50129100.166666664	50129100.166666664	0.0003973920864974059	133.5927555274569	85.11238742833176	326.0654975929711
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21	178467250.5	178467250.5	0.0004779389097496513	135.57883029244167	89.3658785833871	345.24923495682924
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11	81039420.0	81039420.0	0.00031027915559939145	115.80994258227688	92.81055870188996	235.06736473579187
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6	822942.1666666666	822942.1666666666	0.00040539485847736586	144.01472885869154	98.17209081102524	332.72322596909964
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21	257432665.0	257432665.0	0.0004302392071603299	143.34957810492352	101.00513092564508	346.90812493018194
