group	name	true	predicted	decision makers
L1323	04072023--s--Lm--st--L1323--p--C04--pos001--tm--24--ch--Syto9--z--21	L1323	L628	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 36.09052501930208), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 35.39640091446579), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 34.74573739840075), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 32.91047616360958), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 21.827636526984552)]
L1323	04072023--s--Lm--st--L1323--p--C04--pos002--tm--24--ch--Syto9--z--21	L1323	L628	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 192.72007163955743), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 53.919401776218166), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 42.254905004702465), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 33.62329430591359), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 10.900599000176172)]
L1323	04072023--s--Lm--st--L1323--p--C04--pos003--tm--24--ch--Syto9--z--21	L1323	L634	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 93.13308581181873), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 72.52374888246923), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 34.261267052347996), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 33.92524499623507), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 18.05636543519909)]
L1323	04072023--s--Lm--st--L1323--p--C04--pos004--tm--24--ch--Syto9--z--21	L1323	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 60.66627858258492), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 48.06447943207339), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 35.30652937528774), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 31.92422560404097), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 16.012223403605763)]
L1323	04072023--s--Lm--st--L1323--p--C04--pos005--tm--24--ch--Syto9--z--21	L1323	L628	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 194.33666717550045), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 52.97160573094176), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 35.928010088674945), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 33.38017834052345), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 11.93716101946007)]
L1323	04072023--s--Lm--st--L1323--p--C05--pos001--tm--24--ch--Syto9--z--21	L1323	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 92.4582038721232), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 71.13883371507552), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 45.39537441624309), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 37.029190779083095), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 16.709679218521924)]
L1323	04072023--s--Lm--st--L1323--p--C05--pos003--tm--24--ch--Syto9--z--21	L1323	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 88.04464928124634), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 59.56559611819094), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 49.830454029961636), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 37.945544562161416), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 22.360267067210305)]
L1323	04072023--s--Lm--st--L1323--p--C05--pos004--tm--24--ch--Syto9--z--21	L1323	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 91.18920880833336), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 70.04548407779448), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 44.25635431904781), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 38.12703202576558), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 16.134881049742997)]
L1323	04072023--s--Lm--st--L1323--p--C05--pos005--tm--24--ch--Syto9--z--21	L1323	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 85.94206610443699), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 55.33118067118024), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 50.51351782238199), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 33.93223114745722), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 22.617014615365076)]
L1323	04072023--s--Lm--st--L1323--p--C06--pos001--tm--24--ch--Syto9--z--21	L1323	L628	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 180.83416689903927), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 49.62770127924944), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 34.544241985534136), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 29.60453685305331), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 11.51841711792457)]
L1323	04072023--s--Lm--st--L1323--p--C06--pos002--tm--24--ch--Syto9--z--21	L1323	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 88.78301837336427), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 66.94006983940305), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 44.52976929975383), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 42.561698826222035), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 18.007420400452208)]
L1323	04072023--s--Lm--st--L1323--p--C06--pos003--tm--24--ch--Syto9--z--21	L1323	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 90.4492676948007), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 71.3124385173239), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 45.353486041833165), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 36.98935454773349), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 17.268931726594484)]
L1323	04072023--s--Lm--st--L1323--p--C06--pos004--tm--24--ch--Syto9--z--21	L1323	L628	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 192.49261334846653), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 53.09822201461008), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 35.72534013869365), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 33.540845105324244), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 11.354653457311723)]
L1323	04072023--s--Lm--st--L1323--p--C07--pos001--tm--24--ch--Syto9--z--21	L1323	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 89.15529678919941), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 70.94622977248632), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 45.459635880520615), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 36.989523308320116), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 16.841026060475187)]
L1323	04072023--s--Lm--st--L1323--p--C07--pos003--tm--24--ch--Syto9--z--21	L1323	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 120.86078246036647), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 66.94131925811557), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 65.98419870841894), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 42.80280826299847), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 24.30613929045412)]
L1323	04072023--s--Lm--st--L1323--p--C08--pos001--tm--24--ch--Syto9--z--21	L1323	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 90.4492676948007), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 70.63240056997947), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 44.89706353357592), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 36.57399626874597), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 16.270294901115154)]
L1323	04072023--s--Lm--st--L1323--p--C08--pos002--tm--24--ch--Syto9--z--21	L1323	L634	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 51.839367617531394), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 49.38045294004273), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 45.42757752253511), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 39.61659928752419), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 20.235980171528155)]
L1323	04072023--s--Lm--st--L1323--p--C08--pos003--tm--24--ch--Syto9--z--21	L1323	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 87.47582549410083), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 61.13224449756395), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 50.926325791903054), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 36.218629498884134), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 21.330886244707308)]
L1323	04072023--s--Lm--st--L1323--p--C08--pos004--tm--24--ch--Syto9--z--21	L1323	L634	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 57.797697522353864), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 49.86174931844301), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 47.00758801680009), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 43.124066199872765), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 19.94920184858331)]
L1323	04072023--s--Lm--st--L1323--p--C08--pos005--tm--24--ch--Syto9--z--21	L1323	L628	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 59.93418087985573), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 59.78001746385052), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 49.497606969578484), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 41.72875139350287), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 18.78724956149932)]
L1323	04072023--s--Lm--st--L1323--p--C09--pos002--tm--24--ch--Syto9--z--21	L1323	L634	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 104.6292301264747), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 42.12574628911822), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 37.69687842524291), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 36.46922295885115), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 12.950435470840105)]
L1323	04072023--s--Lm--st--L1323--p--C09--pos003--tm--24--ch--Syto9--z--21	L1323	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 87.40118147014607), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 56.91555744073223), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 52.503713591119215), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 31.34271803608218), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 22.18160813961933)]
