group	name	true	predicted	decision makers
L1323	04072023--s--Lm--st--L1323--p--C04--pos--1--tm--0--ch--BF	L1323	L1764	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 204.30537601121205), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 45.296440199663614), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 19.218869751294978), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 10.246015379010101), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 5.453310188080195)]
L1323	04072023--s--Lm--st--L1323--p--C04--pos--2--tm--0--ch--BF	L1323	L394	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 126.11095453877496), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 30.818662504332586), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 17.798500323102594), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 14.312043837746538), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 13.638162982277816)]
L1323	04072023--s--Lm--st--L1323--p--C04--pos--3--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 84.6537595041488), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 27.19911447610451), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 23.58762095763061), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 12.806285763377069), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 8.135953138464416)]
L1323	04072023--s--Lm--st--L1323--p--C05--pos--1--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 178.39479377605645), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 33.83108892533941), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 30.061744198721836), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 15.353057145229503), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 5.6503246041646875)]
L1323	04072023--s--Lm--st--L1323--p--C05--pos--3--tm--0--ch--BF	L1323	L394	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 203.02697126537424), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 68.95224360727325), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 22.80761364180196), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 14.215371919929819), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 13.312967104923244)]
L1323	04072023--s--Lm--st--L1323--p--C06--pos--1--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 88.40038530469245), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 27.030008318477606), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 26.39863821044913), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 7.5176125364094535), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 6.417541752266862)]
L1323	04072023--s--Lm--st--L1323--p--C06--pos--2--tm--0--ch--BF	L1323	L1764	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 204.30537601121205), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 45.296440199663614), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 19.218869751294978), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 10.246015379010101), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 5.453310188080195)]
L1323	04072023--s--Lm--st--L1323--p--C06--pos--3--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 66.7519657600669), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 29.181383065530568), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 22.371911978234774), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 15.879641207839708), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 11.87065563484813)]
L1323	04072023--s--Lm--st--L1323--p--C07--pos--1--tm--0--ch--BF	L1323	L394	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 146.8859754193127), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 36.3340416584944), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 15.925757322530222), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 15.134825217676578), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 12.4427768598352)]
L1323	04072023--s--Lm--st--L1323--p--C07--pos--2--tm--0--ch--BF	L1323	L1764	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 204.30537601121205), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 45.296440199663614), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 19.218869751294978), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 10.246015379010101), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 5.453310188080195)]
