group	name	true	predicted	decision makers
L455	16052023--s--Lm--st--L455--p--G05--pos004--tm--24--ch--Syto9--z--21	L455	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 39.32173414246819), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 30.84535613233958), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 25.095705867711448), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 20.796546709677518), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 9.263297330453945), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 7.6478676279500855), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 0.8584342679247449), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 0.726196070164717), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.6207804177138594), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.14444649689692152)]
L455	16052023--s--Lm--st--L455--p--G07--pos004--tm--24--ch--Syto9--z--21	L455	L634	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 39.333974389117444), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 32.76848518551151), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 24.817581344446875), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 20.975298093571045), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 8.465488716351262), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 7.0475947366804785), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 5.116095306151052), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.1082547047409537), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 0.6311816732890551), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.18474290676586003)]
L1323	18072023--s--Lm--st--L1323--p--B02--pos004--tm--24--ch--Syto9--z--21	L1323	L628	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 34.344791969034844), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 19.76713418400879), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 10.81579652795887), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 7.451196450508519), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 6.92636632848261), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 3.1264135058310587), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 2.760531774868193), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 1.3918348573908745), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.5181374298687662), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.09744342306974633)]
L1323	18072023--s--Lm--st--L1323--p--B09--pos004--tm--24--ch--Syto9--z--21	L1323	L628	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 33.97533028503152), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 19.515853681778502), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 10.64855417565739), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 7.451196450508519), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 6.934221135721672), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 3.201463124236282), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 2.8574831480100427), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 1.431778815611208), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.4611317634005026)]
L1323	18072023--s--Lm--st--L1323--p--B11--pos004--tm--24--ch--Syto9--z--21	L1323	L634	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 39.39721681973127), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 32.823668848920526), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 24.659721342029403), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 21.200780536158295), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 8.512469188917473), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 7.201232663188863), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 5.0743183685329045), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 2.9897324249472175), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 0.6311816732890551), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.08816221182165115)]
L1823	18072023--s--Lm--st--L1823--p--E06--pos004--tm--24--ch--Syto9--z--21	L1823	L394	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 31.017899959666053), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 19.174841142551898), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 10.019580589916936), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 9.281286216290422), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 7.2060202832659686), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 7.122668754627404), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 3.1264135058310587), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 0.941076415522551), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.4892235334142832), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.1718021242223797)]
L1823	18072023--s--Lm--st--L1823--p--E10--pos004--tm--24--ch--Syto9--z--21	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 37.05815897074393), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 30.466578697493695), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 24.679543240995237), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 18.192005758744322), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 6.85734849463371), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 5.5532539417218745), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 1.3159139717758426), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 1.0022950384227798), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.8570892788702517), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.4152009312089005)]
L1823	18072023--s--Lm--st--L1823--p--E11--pos004--tm--24--ch--Syto9--z--21	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 37.05728985839311), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 30.47021153106795), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 24.74697055375503), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 18.063979566515727), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 7.034155945685423), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 5.605177858825647), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 1.3159139717758426), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 0.9924040488034027), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.8300996594930891), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.4563120423200116)]
19115	23052023--s--Lm--st--19115--p--F04--pos004--tm--24--ch--Syto9--z--21	19115	L1764	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 32.561408736547165), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 17.493730926082705), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 11.899316655268388), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 10.66100668933053), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 8.044125416308962), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 4.226472904246068), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 1.0079146002582942), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.7463634830123048), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 0.380338259883123), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.35527404455735734)]
19115	23052023--s--Lm--st--19115--p--F08--pos004--tm--24--ch--Syto9--z--21	19115	L1764	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 32.561408736547165), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 17.493730926082705), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 11.899316655268388), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 10.66100668933053), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 8.044125416308962), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 4.226472904246068), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 1.0079146002582942), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.7463634830123048), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 0.380338259883123), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.35527404455735734)]
19115	23052023--s--Lm--st--19115--p--G03--pos004--tm--24--ch--Syto9--z--21	19115	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 38.71867887462956), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 31.181815559458606), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 25.99283079404315), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 18.141366302553237), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 6.916049267856579), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 6.328088403649308), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 1.182925770433904), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.6726261269418768), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 0.6304377420238734), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.13076377621537166)]
L628	23052023--s--Lm--st--L628--p--C04--pos004--tm--24--ch--Syto9--z--21	L628	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 29.946254960753024), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 23.014631860329168), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 15.890409237279053), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 6.247675666700836), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 3.2434541198983124), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.032761349437734275)]
L628	23052023--s--Lm--st--L628--p--C06--pos004--tm--24--ch--Syto9--z--21	L628	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 29.546679046889476), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 25.948571972856215), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 20.925523921584375), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 6.999847793825778), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 5.0594478352837395), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 4.140216326046316), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 0.3078029703718636), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 0.12738346676888354), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.0661753601050697), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.06554143388909289)]
L628	23052023--s--Lm--st--L628--p--C09--pos004--tm--24--ch--Syto9--z--21	L628	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 29.546679046889476), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 25.948571972856215), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 20.925523921584375), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 6.999847793825778), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 5.0594478352837395), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 4.140216326046316), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 0.3078029703718636), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 0.12738346676888354), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.0661753601050697), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.06554143388909289)]
L628	23052023--s--Lm--st--L628--p--C10--pos004--tm--24--ch--Syto9--z--21	L628	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 29.946254960753024), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 23.014631860329168), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 15.890409237279053), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 6.247675666700836), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 3.2434541198983124), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.032761349437734275)]
L628	23052023--s--Lm--st--L628--p--D04--pos004--tm--24--ch--Syto9--z--21	L628	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 29.546679046889476), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 26.83198948985579), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q25.txt', 22.49844286010411), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_std.txt', 7.636548043468107), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 4.827495230449679), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 4.083309583340572), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q75.txt', 0.47420079251506586), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q90.txt', 0.387220713568322), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 0.2872493709672292), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_var.txt', 0.0661753601050697)]
