group	name	true	predicted	decision makers
L1323	04072023--s--Lm--st--L1323--p--C09--pos--1--tm--0--ch--BF	L1323	19115	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 38.42718883411143), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 34.91533389156392), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 31.51281808776213), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 24.725714988508415), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 5.068412765724502)]
L1323	04072023--s--Lm--st--L1323--p--C09--pos--2--tm--0--ch--BF	L1323	19115	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 41.39436453036488), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 36.0592160031443), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 35.757319106401056), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 23.69026916664095), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 4.373905067738866)]
L1323	04072023--s--Lm--st--L1323--p--C10--pos--1--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 32.67573752916003), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 32.3026692413486), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 24.50850477477688), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 18.817617012632844), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 8.19703024955365)]
L1323	04072023--s--Lm--st--L1323--p--C10--pos--2--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 54.861104974324086), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 33.44012890434308), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 28.365875337132405), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 14.380526441572433), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 6.171962489911699)]
L1323	04072023--s--Lm--st--L1323--p--C10--pos--3--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 40.98105894384693), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 37.75620493961514), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 31.339113691587514), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 16.882641334166003), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 10.099716841262262)]
L1323	04072023--s--Lm--st--L1323--p--D03--pos--1--tm--0--ch--BF	L1323	L394	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 40.226639520952205), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 40.16492318621035), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 28.841678017927354), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 23.537445692347255), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 7.9565757871386715)]
L1323	04072023--s--Lm--st--L1323--p--D03--pos--2--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 29.495755250718883), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 29.136591715538973), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 21.784191204222857), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 16.7990240664723), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 7.300720512755179)]
L1323	04072023--s--Lm--st--L1323--p--D03--pos--3--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 60.93306959947608), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 24.22666550459721), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 22.361201322870595), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 17.56126333734708), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 6.64186349937266)]
L1323	04072023--s--Lm--st--L1323--p--D04--pos--2--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 59.51910418740865), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 32.42495020207252), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 27.642641279924753), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 14.610479310103019), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 5.933552337492844)]
L1323	04072023--s--Lm--st--L1323--p--D04--pos--3--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 56.41993629899258), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 26.873356589227665), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 20.1965319805694), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 12.422038979138518), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 6.889627793922076)]
L1323	04072023--s--Lm--st--L1323--p--D05--pos--3--tm--0--ch--BF	L1323	L1823	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 79.93172059530431), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 33.18428260507928), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 27.99659379823247), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 16.706873224405832), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 6.4471508294416235)]
L1823	04072023--s--Lm--st--L1823--p--F04--pos--1--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 66.57134648414434), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 41.422633595852275), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 25.126002305658183), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 21.333112928394183), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 10.56904790987387)]
L1823	04072023--s--Lm--st--L1823--p--F04--pos--3--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 62.92379714164021), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 26.843693726901996), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 25.895849238571675), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 9.057393772132132), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 4.002488887456695)]
L1823	04072023--s--Lm--st--L1823--p--F05--pos--1--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 142.2093608456759), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 66.09609330297006), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 34.01390222019007), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 6.692492460755457)]
L1823	04072023--s--Lm--st--L1823--p--F05--pos--2--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 71.71465652195063), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.1876384885462), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 27.43746197164609), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.5407946008196207), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 1.7852995520364519)]
L1823	04072023--s--Lm--st--L1823--p--F05--pos--3--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 71.71465652195063), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.1876384885462), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 27.43746197164609), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.5407946008196207), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 1.7852995520364519)]
L1823	04072023--s--Lm--st--L1823--p--F06--pos--1--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 58.0533613373937), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 26.753945125458788), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 25.468241907091755), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 8.538275588476958), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 4.587381010487589)]
L1823	04072023--s--Lm--st--L1823--p--F06--pos--2--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 57.64751348025398), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 27.109794222544547), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 25.62278656504032), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 8.103523386617798), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 4.103867715995453)]
L1823	04072023--s--Lm--st--L1823--p--F06--pos--3--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 66.57134648414434), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 41.67442826605169), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 25.126002305658183), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 21.296898936624636), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 10.819935875249557)]
L1823	04072023--s--Lm--st--L1823--p--F07--pos--1--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 71.71465652195063), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.1876384885462), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 27.43746197164609), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.5407946008196207), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 1.7852995520364519)]
L1823	04072023--s--Lm--st--L1823--p--F07--pos--2--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 76.35857005162777), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 37.55847494995605), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 26.68474560884136), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 4.5302411813013155), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 2.0289693869030585)]
L1823	04072023--s--Lm--st--L1823--p--F07--pos--3--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 71.71465652195063), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.1876384885462), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 27.43746197164609), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.5407946008196207), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 1.7852995520364519)]
L1823	04072023--s--Lm--st--L1823--p--F08--pos--2--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 73.00040237893087), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.3658017648565), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 27.37647170394656), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.803685853347665), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 2.303610345401559)]
L1823	04072023--s--Lm--st--L1823--p--F08--pos--3--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 71.71465652195063), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.1876384885462), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 27.43746197164609), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.5407946008196207), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 1.7852995520364519)]
L1823	04072023--s--Lm--st--L1823--p--F09--pos--1--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 76.91476803936872), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.05834815621646), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 28.13877136316794), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 4.043954223854525), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 2.4618123755387042)]
L1823	04072023--s--Lm--st--L1823--p--F09--pos--2--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 69.3837582242307), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 29.480587119660832), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 25.486969814328322), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 6.2782324771205085), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 2.2416404280153)]
L1823	04072023--s--Lm--st--L1823--p--F09--pos--3--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 72.57976800923645), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.1876384885462), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 27.385775942382985), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.6348185456163953), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 2.263955919628003)]
L1823	04072023--s--Lm--st--L1823--p--F10--pos--1--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 71.71465652195063), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.1876384885462), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 27.43746197164609), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.5407946008196207), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 1.7852995520364519)]
L1823	04072023--s--Lm--st--L1823--p--F10--pos--2--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 76.04965655208291), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.08774815621646), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 27.794622173018464), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.7579301702771453), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 1.9831560079471535)]
L1823	04072023--s--Lm--st--L1823--p--F10--pos--3--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 57.64751348025398), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 27.109794222544547), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 25.62278656504032), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 8.109862910740686), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 4.108724642896038)]
