	Unnamed: 0	globalMean	mdiffs	maxdiffs	mindiffs	eigen	sampleName
0	0	305.6551034109933	-38.885977268218994	-3.7565231323242183	-144.63034439086914	1.0	30052023--s--Lm--st--L634--p--C08--pos002--tm--24--ch--Syto9--z--21
0	0	449.34688577197846	-35.35995020866394	36.9114408493042	-107.94159698486328	1.0	14112023--s--Lm--st--19115--p--G08--pos005--tm--24--ch--Syto9--z--21
0	0	701.6025850659325	-28.94957890510559	17.15823745727539	-46.84217071533203	1.0	13062023--s--Lm--st--L1764--p--G04--pos005--tm--24--ch--Syto9--z--21
0	0	601.3362247376215	-47.64541811943055	6.024788856506348	-227.49974250793457	1.0	28032023--s--Lm--st--L455--p--D06--pos005--tm--24--ch--Syto9--z--21
0	0	628.4766163598923	-38.86247353553772	18.354310989379883	-98.0129737854004	1.0	14112023--s--Lm--st--L628--p--D07--pos002--tm--24--ch--Syto9--z--21
0	0	453.1979592187064	-18.694510841369627	81.57728862762451	-40.54949188232422	1.0	16052023--s--Lm--st--L394--p--C04--pos003--tm--24--ch--Syto9--z--21
0	0	703.4713268280029	-41.34009156227112	48.688758850097656	-78.60594844818115	1.0	13062023--s--Lm--st--L1764--p--F08--pos004--tm--24--ch--Syto9--z--21
0	0	190.96901648385185	-32.21281237602234	-2.0623350143432617	-106.64340305328368	1.0	25042023--s--Lm--st--19115--p--C06--pos005--tm--24--ch--Syto9--z--21
0	0	496.41732779003326	-33.9674367427826	16.428275108337402	-132.73856925964355	1.0	18072023--s--Lm--st--L1823--p--E10--pos001--tm--24--ch--Syto9--z--21
0	0	475.4495963596162	-51.5073655128479	-2.2092857360839844	-122.79554271697998	1.0	30052023--s--Lm--st--L634--p--C07--pos003--tm--24--ch--Syto9--z--21
0	0	474.4105435325986	-41.89881854057312	-14.142736434936523	-90.14329051971436	1.0	04072023--s--Lm--st--L1823--p--G04--pos005--tm--24--ch--Syto9--z--21
0	0	240.00813484191892	-16.279298114776612	23.138687133789062	-38.76930618286133	1.0	16052023--s--Lm--st--L455--p--G03--pos002--tm--24--ch--Syto9--z--21
0	0	1233.125955445426	-50.22016315460205	74.31894397735596	-81.99683380126953	1.0	14112023--s--Lm--st--L1764--p--G03--pos005--tm--24--ch--Syto9--z--21
0	0	586.7844189235142	-48.48680214881897	-5.810369491577148	-115.0841064453125	1.0	04072023--s--Lm--st--L1823--p--G06--pos002--tm--24--ch--Syto9--z--21
0	0	467.29529117402575	-29.838783502578732	13.484719276428224	-192.91102409362796	1.0	23052023--s--Lm--st--L628--p--D04--pos003--tm--24--ch--Syto9--z--21
0	0	417.4661254428682	-60.39743890762329	-6.011197090148926	-152.43195152282715	1.0	13062023--s--Lm--st--L634--p--C10--pos001--tm--24--ch--Syto9--z--21
0	0	417.66223344348725	-41.78639531135559	-5.022571563720703	-122.7209405899048	1.0	13042023--s--Lm--st--L628--p--D04--pos002--tm--24--ch--Syto9--z--21
0	0	564.3250966299148	-35.287713813781735	63.57615852355957	-133.50629138946533	1.0	13062023--s--Lm--st--L634--p--C05--pos003--tm--24--ch--Syto9--z--21
0	0	239.11172226497104	-30.90637493133545	-2.2079553604125977	-103.71648979187012	1.0	25042023--s--Lm--st--19115--p--D05--pos003--tm--24--ch--Syto9--z--21
0	0	279.5260530653454	-28.520018911361696	-4.836869239807129	-82.86413097381592	1.0	23052023--s--Lm--st--L628--p--C09--pos001--tm--24--ch--Syto9--z--21
0	0	757.8705464771816	-71.6384822845459	-19.44617748260498	-175.74075603485107	1.0	14112023--s--Lm--st--L455--p--B02--pos001--tm--24--ch--Syto9--z--21
0	0	331.37878863016766	-37.20217618942261	-3.95327377319336	-108.2569704055786	1.0	14112023--s--Lm--st--19115--p--F09--pos002--tm--24--ch--Syto9--z--21
0	0	396.0786394845872	-25.35558466911316	25.086586952209476	-120.30863761901855	1.0	23052023--s--Lm--st--L628--p--D05--pos003--tm--24--ch--Syto9--z--21
0	0	471.235026949928	-27.44260334968567	55.267273902893066	-82.74582958221436	1.0	16052023--s--Lm--st--L455--p--G04--pos005--tm--24--ch--Syto9--z--21
0	0	369.817457426162	-28.509479808807374	7.162690162658691	-84.21430397033691	1.0	23052023--s--Lm--st--L628--p--C06--pos005--tm--24--ch--Syto9--z--21
0	0	387.4127731777373	-28.04635081291199	30.811182022094727	-57.66564750671387	1.0	04072023--s--Lm--st--L1323--p--C09--pos003--tm--24--ch--Syto9--z--21
0	0	512.0015405473255	-68.53005533218384	-8.777429580688477	-208.9663791656494	1.0	13062023--s--Lm--st--L634--p--C08--pos005--tm--24--ch--Syto9--z--21
0	0	497.8957248415266	-21.36978244781494	79.37150382995605	-52.95354843139648	1.0	16052023--s--Lm--st--L394--p--D03--pos003--tm--24--ch--Syto9--z--21
0	0	1010.3985343660628	-74.45397663116455	16.567069053649902	-112.7249174118042	1.0	07112023--s--Lm--st--L394--p--B04--pos002--tm--24--ch--Syto9--z--21
0	0	521.8068461645217	-44.341947603225705	-14.765244483947754	-124.89946460723876	1.0	18072023--s--Lm--st--L1323--p--B05--pos003--tm--24--ch--Syto9--z--21
0	0	303.400786172776	-35.77820611000061	-7.079353332519531	-125.64686584472656	1.0	23052023--s--Lm--st--L628--p--D05--pos001--tm--24--ch--Syto9--z--21
0	0	333.34541116442	-39.36960835456848	-8.922310829162598	-103.71184921264648	1.0	30052023--s--Lm--st--L634--p--C09--pos005--tm--24--ch--Syto9--z--21
0	0	645.2034403028943	-32.59107728004456	-5.3352766036987305	-89.81688022613525	1.0	18072023--s--Lm--st--L1823--p--E04--pos005--tm--24--ch--Syto9--z--21
0	0	302.12993412926085	-20.655658388137816	47.83248329162598	-82.03564548492432	1.0	16052023--s--Lm--st--L455--p--G05--pos001--tm--24--ch--Syto9--z--21
0	0	779.776091938927	-59.69635605812073	10.197132110595703	-115.98082160949708	1.0	04072023--s--Lm--st--L1823--p--F04--pos004--tm--24--ch--Syto9--z--21
0	0	340.69090357280913	-40.80271973609924	-3.375864028930664	-107.24974346160889	1.0	25042023--s--Lm--st--19115--p--C07--pos003--tm--24--ch--Syto9--z--21
0	0	251.4741148721604	-34.752595043182374	-2.840317726135254	-119.52211666107178	1.0	30052023--s--Lm--st--L634--p--C05--pos002--tm--24--ch--Syto9--z--21
0	0	687.8774080276489	-43.85511636734009	17.82077693939209	-164.0232973098755	1.0	18072023--s--Lm--st--L1823--p--E11--pos005--tm--24--ch--Syto9--z--21
0	0	907.3268801825388	-64.61763520240784	4.45789909362793	-97.9020128250122	1.0	07112023--s--Lm--st--L394--p--C03--pos001--tm--24--ch--Syto9--z--21
0	0	549.6455500012353	-18.93622407913208	100.17930507659912	-58.35831260681152	1.0	18042023--s--Lm--st--L394--p--D06--pos004--tm--24--ch--Syto9--z--21
0	0	625.3378033410935	-42.25597219467163	46.968281745910645	-64.39085578918457	1.0	16052023--s--Lm--st--L394--p--C05--pos004--tm--24--ch--Syto9--z--21
0	0	320.47114181518555	-33.025101232528684	57.87167739868164	-104.40522861480711	1.0	25042023--s--Lm--st--19115--p--D06--pos003--tm--24--ch--Syto9--z--21
0	0	369.0057233174642	-52.54111437797546	-6.932429313659668	-157.31578159332275	1.0	13062023--s--Lm--st--L634--p--C09--pos001--tm--24--ch--Syto9--z--21
0	0	314.2948003496443	-22.96679396629333	79.59919929504395	-79.70028591156006	1.0	04072023--s--Lm--st--L1323--p--D05--pos002--tm--24--ch--Syto9--z--21
